Date,Source,Season,Production
2022-12-18 00:00:00,Wind,Winter,11400
2024-01-29 00:00:00,Wind,Winter,7917
2024-08-01 00:00:00,Solar,Summer,8835
2020-11-10 00:00:00,Wind,Fall,989
2022-12-19 00:00:00,Wind,Winter,12526
2024-10-18 00:00:00,Solar,Fall,4855
2020-04-10 00:00:00,Solar,Spring,3692
2023-01-25 00:00:00,Wind,Winter,2156
2021-12-12 00:00:00,Wind,Winter,5813
2020-10-11 00:00:00,Wind,Fall,6106
2024-01-08 00:00:00,Wind,Winter,5515
2020-01-08 00:00:00,Wind,Winter,2785
2022-01-29 00:00:00,Wind,Winter,8498
2021-06-02 00:00:00,Solar,Summer,5561
2024-06-11 00:00:00,Wind,Summer,2328
2020-06-05 00:00:00,Wind,Summer,6664
2021-05-02 00:00:00,Solar,Spring,4993
2022-01-13 00:00:00,Wind,Winter,3276
2020-07-24 00:00:00,Wind,Summer,1739
2024-08-29 00:00:00,Wind,Summer,2083
2024-01-03 00:00:00,Wind,Winter,17272
2024-04-02 00:00:00,Wind,Spring,12285
2020-07-29 00:00:00,Solar,Summer,3480
2024-11-05 00:00:00,Wind,Fall,1690
2022-10-24 00:00:00,Wind,Fall,11508
2023-02-27 00:00:00,Wind,Winter,15692
2020-04-02 00:00:00,Solar,Spring,4169
2020-05-13 00:00:00,Wind,Spring,3174
2023-11-22 00:00:00,Wind,Fall,7314
2021-09-11 00:00:00,Solar,Fall,4969
2025-04-07 00:00:00,Solar,Spring,9862
2025-07-27 00:00:00,Wind,Summer,3862
2021-03-11 00:00:00,Wind,Spring,16144
2022-04-30 00:00:00,Solar,Spring,8188
2023-01-19 00:00:00,Wind,Winter,1710
2022-09-11 00:00:00,Wind,Fall,472
2021-09-25 00:00:00,Solar,Fall,3402
2020-08-08 00:00:00,Solar,Summer,3996
2021-06-08 00:00:00,Wind,Summer,1148
2024-06-10 00:00:00,Wind,Summer,4062
2020-06-18 00:00:00,Wind,Summer,1443
2023-05-30 00:00:00,Wind,Spring,13363
2022-02-17 00:00:00,Wind,Winter,15609
2022-05-11 00:00:00,Wind,Spring,8878
2024-05-07 00:00:00,Wind,Spring,2974
2025-11-22 00:00:00,Wind,Fall,12324
2021-04-09 00:00:00,Wind,Spring,5279
2021-12-24 00:00:00,Wind,Winter,3872
2023-03-11 00:00:00,Wind,Spring,6406
2021-08-13 00:00:00,Solar,Summer,5323
2021-02-01 00:00:00,Wind,Winter,7166
2023-09-11 00:00:00,Solar,Fall,7117
2020-07-01 00:00:00,Wind,Summer,5874
2025-03-10 00:00:00,Solar,Spring,4807
2023-06-23 00:00:00,Solar,Summer,7976
2023-02-09 00:00:00,Solar,Winter,5168
